	Name	Path	Lev1	Lev2	Lev3
K10442	kelch-like protein 1/4/5	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10443	kelch-like protein 2/3	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10447	kelch-like protein 9/13	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis
K10448	kelch-like protein 10	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10466	kelch-like protein 30	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10475	kelch repeat and BTB domain-containing protein 8	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10478	BTB/POZ domain-containing protein 3/6	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10519	zinc finger and BTB domain-containing protein 48	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10520	ankyrin repeat and BTB/POZ domain-containing protein 1	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10598	peptidyl-prolyl cis-trans isomerase-like 2 [EC:5.2.1.8]	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin mediated proteolysis
K10600	U-box domain-containing protein 5	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis
K10602	E3 ubiquitin-protein ligase NHLRC1 [EC:2.3.2.27]	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis
K10605	breast cancer type 1 susceptibility protein [EC:2.3.2.27]	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Genetic Information Processing; Replication and repair; Homologous recombination | Genetic Information Processing; Replication and repair; Fanconi anemia pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Human Diseases; Cancers: Specific types; Breast cancer | Human Diseases; Drug resistance: Antineoplastic; Platinum drug resistance | Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin mediated proteolysis
K10611	RING-box protein 2 [EC:2.3.2.32]	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Human Diseases; Infectious diseases: Viral; Human immunodeficiency virus 1 infection | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis
K10626	E3 ubiquitin-protein ligase UBR2 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10629	E3 ubiquitin-protein ligase RNF128 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10640	E3 ubiquitin-protein ligase RNF25 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10641	E3 ubiquitin-protein ligase LRSAM1 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking
K10642	E3 ubiquitin-protein ligase DZIP3 [EC:2.3.2.27]	Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: metabolism	Protein phosphatases and associated proteins
K10649	tripartite motif-containing protein 9/67	Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Membrane trafficking
K10651	tripartite motif-containing protein 21 [EC:2.3.2.27]	Human Diseases; Immune diseases; Systemic lupus erythematosus | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Systemic lupus erythematosus
K10653	tripartite motif-containing protein 54	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10668	E3 ubiquitin-protein ligase RNF138 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10683	BRCA1-associated RING domain protein 1	Genetic Information Processing; Replication and repair; Homologous recombination | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Homologous recombination
K10687	ubiquitin-conjugating enzyme E2 F [EC:2.3.2.23]	Genetic Information Processing; Folding, sorting and degradation; Ubiquitin mediated proteolysis | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Genetic Information Processing	Folding, sorting and degradation	Ubiquitin mediated proteolysis
K10692	ligand of Numb protein X 1/2 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10694	E3 ubiquitin-protein ligase ZNRF1/2 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K10728	topoisomerase (DNA) II binding protein 1	Genetic Information Processing; Replication and repair; Homologous recombination | Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Homologous recombination
K10730	ATP-dependent DNA helicase Q4 [EC:3.6.4.12]	Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins
K10732	GINS complex subunit 1	Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins	Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins
K10735	GINS complex subunit 4	Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins	Brite Hierarchies	Protein families: genetic information processing	DNA replication proteins
K10739	replication factor A2	Genetic Information Processing; Replication and repair; DNA replication | Genetic Information Processing; Replication and repair; Nucleotide excision repair | Genetic Information Processing; Replication and repair; Mismatch repair | Genetic Information Processing; Replication and repair; Homologous recombination | Genetic Information Processing; Replication and repair; Fanconi anemia pathway | Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Genetic Information Processing	Replication and repair	DNA replication
K10759	tannase [EC:3.1.1.20]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K10827	K10827 (name not available)	K10827 (path not available)	Unclassified	Unclassified	Unclassified
K10837	O-phosphoseryl-tRNA(Sec) kinase [EC:2.7.1.164]	Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis	Metabolism	Metabolism of other amino acids	Selenocompound metabolism
K10845	TFIIH basal transcription factor complex TTD-A subunit	Genetic Information Processing; Transcription; Basal transcription factors | Genetic Information Processing; Replication and repair; Nucleotide excision repair | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Genetic Information Processing	Protein families: genetic information processing	Basal transcription factors
K10862	tyrosyl-DNA phosphodiesterase 1 [EC:3.1.4.-]	Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins
K10863	aprataxin [EC:3.1.11.7 3.1.11.8 3.1.12.2]	Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins
K10878	meiotic recombination protein SPO11	Cellular Processes; Cell growth and death; Meiosis - yeast | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Cellular Processes	Cell growth and death	Meiosis - yeast
K10881	26 proteasome complex subunit DSS1	Genetic Information Processing; Folding, sorting and degradation; Proteasome | Genetic Information Processing; Replication and repair; Homologous recombination | Human Diseases; Infectious diseases: Viral; Epstein-Barr virus infection | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Proteasome | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Proteasome
K10882	crossover junction endonuclease EME1 [EC:3.1.22.-]	Genetic Information Processing; Replication and repair; Homologous recombination | Genetic Information Processing; Replication and repair; Fanconi anemia pathway | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Genetic Information Processing	Replication and repair	Homologous recombination
K10899	ATP-dependent DNA helicase Q1 [EC:3.6.4.12]	Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	DNA repair and recombination proteins
K10908	DNA-directed RNA polymerase, mitochondrial [EC:2.7.7.6]	Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis	Brite Hierarchies	Protein families: genetic information processing	Mitochondrial biogenesis
K10932	toxin coregulated pilus biosynthesis outer membrane protein C	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Vibrio cholerae | Human Diseases; Infectious diseases: Bacterial; Vibrio cholerae infection | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae
K10958	DNA repair protein RAD57	Genetic Information Processing; Replication and repair; Homologous recombination | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Genetic Information Processing	Replication and repair	Homologous recombination
K10967	alpha 1,2-mannosyltransferase [EC:2.4.1.-]	Metabolism; Glycan biosynthesis and metabolism; Other types of O-glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases	Metabolism	Glycan biosynthesis and metabolism	Other types of O-glycan biosynthesis
K11005	hemolysin A	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11029	anthrax edema toxin adenylate cyclase [EC:4.6.1.1]	Metabolism; Nucleotide metabolism; Purine metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial toxins	Metabolism	Nucleotide metabolism	Purine metabolism
K11049	CylG protein	Not Included in Pathway or Brite; Unclassified: metabolism; Secondary metabolism	Not Included in Pathway or Brite	Unclassified: metabolism	Secondary metabolism
K11087	small nuclear ribonucleoprotein D1	Genetic Information Processing; Transcription; Spliceosome | Human Diseases; Immune diseases; Systemic lupus erythematosus | Brite Hierarchies; Protein families: genetic information processing; Spliceosome | Brite Hierarchies; Protein families: genetic information processing; DNA replication proteins	Brite Hierarchies	Protein families: genetic information processing	Spliceosome
K11148	dehydrogenase/reductase SDR family member 4-like protein 2 [EC:1.1.-.-]	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism	Metabolism	Metabolism of cofactors and vitamins	Retinol metabolism
K11163	dehydrogenase/reductase SDR family member 1 [EC:1.1.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K11164	dehydrogenase/reductase SDR family member 2 [EC:1.1.-.-]	Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers
K11186	mitochondrial tryparedoxin peroxidase, trypanosomatid typical 2-Cys peroxiredoxin [EC:1.11.1.15]	Metabolism; Metabolism of other amino acids; Glutathione metabolism	Metabolism	Metabolism of other amino acids	Glutathione metabolism
K11188	peroxiredoxin 6, 1-Cys peroxiredoxin [EC:1.11.1.7 1.11.1.15 3.1.1.-]	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis	Metabolism	Biosynthesis of other secondary metabolites	Phenylpropanoid biosynthesis
K11203	PTS system, fructose-specific IIC-like component	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11232	osomolarity two-component system, phosphorelay intermediate protein YPD1	Environmental Information Processing; Signal transduction; Two-component system | Environmental Information Processing; Signal transduction; MAPK signaling pathway - yeast | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	Environmental Information Processing	Signal transduction	Two-component system
K11270	chromosome transmission fidelity protein 8	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11344	chromatin modification-related protein EAF6	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11354	two-component system, chemotaxis family, sensor kinase Cph1 [EC:2.7.13.3]	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	Brite Hierarchies	Signal transduction	Two-component system
K11375	elongator complex protein 4	Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Transfer RNA biogenesis
K11379	protein YNG1	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11415	NAD-dependent deacetylase sirtuin 5 [EC:3.5.1.-]	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11424	histone-lysine N-methyltransferase NSD2 [EC:2.1.1.43]	Metabolism; Amino acid metabolism; Lysine degradation | Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Metabolism	Amino acid metabolism	Lysine degradation
K11426	SET and MYND domain-containing protein	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11427	histone-lysine N-methyltransferase, H3 lysine-79 specific [EC:2.1.1.43]	Metabolism; Amino acid metabolism; Lysine degradation | Human Diseases; Cancers: Overview; Transcriptional misregulation in cancer | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Metabolism	Amino acid metabolism	Lysine degradation
K11439	type I protein arginine methyltransferase [EC:2.1.1.319]	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11488	polycomb group RING finger protein 3	Cellular Processes; Cellular community - eukaryotes; Signaling pathways regulating pluripotency of stem cells | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Cellular Processes	Cellular community - eukaryotes	Signaling pathways regulating pluripotency of stem cells
K11495	histone H3-like centromeric protein A	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11547	kinetochore protein NDC80	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11601	manganese transport system substrate-binding protein	Environmental Information Processing; Membrane transport; ABC transporters | Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Environmental Information Processing	Membrane transport	ABC transporters
K11623	two-component system, NarL family, sensor histidine kinase YdfH [EC:2.7.13.3]	Environmental Information Processing; Signal transduction; Two-component system | Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: signaling and cellular processes; Two-component system	Brite Hierarchies	Signal transduction	Two-component system
K11651	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily E, member 1	Organismal Systems; Environmental adaptation; Thermogenesis | Human Diseases; Cancers: Specific types; Hepatocellular carcinoma | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Thermogenesis
K11660	metastasis-associated protein MTA	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11663	zinc finger HIT domain-containing protein 1	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11666	INO80 complex subunit B	Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Chromosome and associated proteins
K11722	bromodomain-containing protein 4	Brite Hierarchies; Protein families: metabolism; Protein kinases | Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Protein kinases
K11733	lysine-specific permease	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11735	GABA permease	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11737	D-serine/D-alanine/glycine transporter	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11745	glutathione-regulated potassium-efflux system ancillary protein KefC	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11775	SWI/SNF complex component SWP73	Brite Hierarchies; Protein families: genetic information processing; Transcription machinery | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins	Brite Hierarchies	Protein families: genetic information processing	Transcription machinery
K11793	cereblon	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11797	PH-interacting protein	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11803	WD repeat-containing protein 40A	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11804	WD repeat-containing protein 42A	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11817	indole-3-acetaldehyde oxidase [EC:1.2.3.7]	Metabolism; Amino acid metabolism; Tryptophan metabolism	Metabolism	Amino acid metabolism	Tryptophan metabolism
K11832	ubiquitin carboxyl-terminal hydrolase 1 [EC:3.4.19.12]	Genetic Information Processing; Replication and repair; Fanconi anemia pathway | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Fanconi anemia pathway
K11841	ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]	Cellular Processes; Transport and catabolism; Mitophagy - yeast | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Transport and catabolism	Mitophagy - yeast
K11846	ubiquitin carboxyl-terminal hydrolase 18/41 [EC:3.4.19.12]	Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: metabolism	Peptidases
K11851	ubiquitin carboxyl-terminal hydrolase 30 [EC:3.4.19.12]	Cellular Processes; Transport and catabolism; Mitophagy - animal | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Mitophagy - animal
K11864	BRCA1/BRCA2-containing complex subunit 3 [EC:3.4.19.-]	Genetic Information Processing; Replication and repair; Homologous recombination | Organismal Systems; Immune system; NOD-like receptor signaling pathway | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: genetic information processing; DNA repair and recombination proteins	Brite Hierarchies	Protein families: genetic information processing	Homologous recombination
K11873	ubiquitin carboxyl-terminal hydrolase 10 [EC:3.4.19.12]	Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: metabolism	Peptidases
K11897	type VI secretion system protein ImpF	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system
K11916	serine/threonine-protein kinase Stk1 [EC:2.7.11.-]	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system
K11929	outer membrane pore protein E	Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Brite Hierarchies	Protein families: signaling and cellular processes	Transporters
K11935	biofilm PGA synthesis protein PgaA	Cellular Processes; Cellular community - prokaryotes; Biofilm formation - Escherichia coli	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Escherichia coli
K11956	neutral amino acid transport system permease protein	Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Environmental Information Processing	Membrane transport	ABC transporters
K11969	ariadne-2 [EC:2.3.2.31]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11977	E3 ubiquitin-protein ligase RNF217 [EC:2.3.2.31]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11979	E3 ubiquitin-protein ligase UBR7 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K11983	E3 ubiquitin-protein ligase RNF182 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12003	tripartite motif-containing protein 13 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12021	tripartite motif-containing protein 45	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12028	tripartite motif-containing protein 59	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12031	tripartite motif-containing protein 65	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12034	tripartite motif-containing protein 69 [EC:2.3.2.27]	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12040	solute carrier family 9 (sodium/hydrogen exchanger), member 3	Organismal Systems; Digestive system; Bile secretion | Organismal Systems; Digestive system; Protein digestion and absorption | Organismal Systems; Digestive system; Mineral absorption | Organismal Systems; Excretory system; Proximal tubule bicarbonate reclamation | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters	Organismal Systems	Digestive system	Bile secretion
K12068	conjugal transfer pilus assembly protein TraL	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system
K12115	clock-associated PAS protein ZTL	Organismal Systems; Environmental adaptation; Circadian rhythm - plant | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Organismal Systems	Environmental adaptation	Circadian rhythm - plant
K12116	flavin-binding kelch repeat F-box protein 1	Organismal Systems; Environmental adaptation; Circadian rhythm - plant | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Organismal Systems	Environmental adaptation	Circadian rhythm - plant
K12157	ubiquitin D	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12161	ubiquitin related modifier 1	Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Sulfur relay system
K12162	ubiquitin-fold modifier 1	Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: genetic information processing	Ubiquitin system
K12170	E3 ubiquitin-protein ligase RNF125 [EC:2.3.2.27]	Organismal Systems; Immune system; RIG-I-like receptor signaling pathway | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Organismal Systems	Immune system	RIG-I-like receptor signaling pathway
K12171	E3 ubiquitin-protein ligase SH3RF [EC:2.3.2.27]	Brite Hierarchies; Protein families: metabolism; Protein phosphatases and associated proteins | Brite Hierarchies; Protein families: genetic information processing; Ubiquitin system	Brite Hierarchies	Protein families: metabolism	Protein phosphatases and associated proteins
K12184	ESCRT-I complex subunit VPS28	Cellular Processes; Transport and catabolism; Endocytosis | Brite Hierarchies; Protein families: genetic information processing; Membrane trafficking | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome	Brite Hierarchies	Transport and catabolism	Endocytosis
K12212	intracellular multiplication protein IcmJ	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system
K12261	2-hydroxyacyl-CoA lyase 1 [EC:4.1.-.-]	Cellular Processes; Transport and catabolism; Peroxisome	Cellular Processes	Transport and catabolism	Peroxisome
K12285	MSHA biogenesis protein MshO	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system
K12286	MSHA biogenesis protein MshP	Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system	Brite Hierarchies	Protein families: signaling and cellular processes	Secretion system
